"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2016","DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, 1 DAY AFTER CROP PRODUCTION REPORT - PRICE REACTION, MEASURED IN CENTS / BU","TOTAL","NOT SPECIFIED","37",""
"SURVEY","2016","NOV","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, 1 DAY AFTER CROP PRODUCTION REPORT - PRICE REACTION, MEASURED IN CENTS / BU","TOTAL","NOT SPECIFIED","-19",""
"SURVEY","2016","OCT","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, 1 DAY AFTER CROP PRODUCTION REPORT - PRICE REACTION, MEASURED IN CENTS / BU","TOTAL","NOT SPECIFIED","-15",""
"SURVEY","2016","SEP","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, 1 DAY AFTER CROP PRODUCTION REPORT - PRICE REACTION, MEASURED IN CENTS / BU","TOTAL","NOT SPECIFIED","-17",""
"SURVEY","2015","AUG","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, 1 DAY AFTER CROP PRODUCTION REPORT - PRICE REACTION, MEASURED IN CENTS / BU","TOTAL","NOT SPECIFIED","-79",""
"SURVEY","2015","DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, 1 DAY AFTER CROP PRODUCTION REPORT - PRICE REACTION, MEASURED IN CENTS / BU","TOTAL","NOT SPECIFIED","14",""
"SURVEY","2015","NOV","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, 1 DAY AFTER CROP PRODUCTION REPORT - PRICE REACTION, MEASURED IN CENTS / BU","TOTAL","NOT SPECIFIED","-14",""
"SURVEY","2015","OCT","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, 1 DAY AFTER CROP PRODUCTION REPORT - PRICE REACTION, MEASURED IN CENTS / BU","TOTAL","NOT SPECIFIED","6",""
"SURVEY","2015","SEP","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, 1 DAY AFTER CROP PRODUCTION REPORT - PRICE REACTION, MEASURED IN CENTS / BU","TOTAL","NOT SPECIFIED","-4",""
"SURVEY","2014","AUG","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, 1 DAY AFTER CROP PRODUCTION REPORT - PRICE REACTION, MEASURED IN CENTS / BU","TOTAL","NOT SPECIFIED","-11",""
"SURVEY","2014","DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, 1 DAY AFTER CROP PRODUCTION REPORT - PRICE REACTION, MEASURED IN CENTS / BU","TOTAL","NOT SPECIFIED","-35",""
"SURVEY","2014","NOV","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, 1 DAY AFTER CROP PRODUCTION REPORT - PRICE REACTION, MEASURED IN CENTS / BU","TOTAL","NOT SPECIFIED","-20",""
"SURVEY","2014","OCT","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, 1 DAY AFTER CROP PRODUCTION REPORT - PRICE REACTION, MEASURED IN CENTS / BU","TOTAL","NOT SPECIFIED","-25",""
"SURVEY","2014","SEP","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, 1 DAY AFTER CROP PRODUCTION REPORT - PRICE REACTION, MEASURED IN CENTS / BU","TOTAL","NOT SPECIFIED","-21",""
"SURVEY","2013","AUG","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, 1 DAY AFTER CROP PRODUCTION REPORT - PRICE REACTION, MEASURED IN CENTS / BU","TOTAL","NOT SPECIFIED","43",""
"SURVEY","2013","DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, 1 DAY AFTER CROP PRODUCTION REPORT - PRICE REACTION, MEASURED IN CENTS / BU","TOTAL","NOT SPECIFIED","5",""
"SURVEY","2013","NOV","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, 1 DAY AFTER CROP PRODUCTION REPORT - PRICE REACTION, MEASURED IN CENTS / BU","TOTAL","NOT SPECIFIED","28",""
"SURVEY","2013","SEP","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, 1 DAY AFTER CROP PRODUCTION REPORT - PRICE REACTION, MEASURED IN CENTS / BU","TOTAL","NOT SPECIFIED","27",""
"SURVEY","2012","AUG","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, 1 DAY AFTER CROP PRODUCTION REPORT - PRICE REACTION, MEASURED IN CENTS / BU","TOTAL","NOT SPECIFIED","12",""
"SURVEY","2012","DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, 1 DAY AFTER CROP PRODUCTION REPORT - PRICE REACTION, MEASURED IN CENTS / BU","TOTAL","NOT SPECIFIED","-9",""
"SURVEY","2012","NOV","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, 1 DAY AFTER CROP PRODUCTION REPORT - PRICE REACTION, MEASURED IN CENTS / BU","TOTAL","NOT SPECIFIED","-85",""
"SURVEY","2012","OCT","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, 1 DAY AFTER CROP PRODUCTION REPORT - PRICE REACTION, MEASURED IN CENTS / BU","TOTAL","NOT SPECIFIED","26",""
"SURVEY","2012","SEP","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, 1 DAY AFTER CROP PRODUCTION REPORT - PRICE REACTION, MEASURED IN CENTS / BU","TOTAL","NOT SPECIFIED","44",""
"SURVEY","2011","AUG","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, 1 DAY AFTER CROP PRODUCTION REPORT - PRICE REACTION, MEASURED IN CENTS / BU","TOTAL","NOT SPECIFIED","28",""
"SURVEY","2011","DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, 1 DAY AFTER CROP PRODUCTION REPORT - PRICE REACTION, MEASURED IN CENTS / BU","TOTAL","NOT SPECIFIED","-19",""
"SURVEY","2011","NOV","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, 1 DAY AFTER CROP PRODUCTION REPORT - PRICE REACTION, MEASURED IN CENTS / BU","TOTAL","NOT SPECIFIED","-14",""
"SURVEY","2011","OCT","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, 1 DAY AFTER CROP PRODUCTION REPORT - PRICE REACTION, MEASURED IN CENTS / BU","TOTAL","NOT SPECIFIED","8",""
"SURVEY","2011","SEP","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, 1 DAY AFTER CROP PRODUCTION REPORT - PRICE REACTION, MEASURED IN CENTS / BU","TOTAL","NOT SPECIFIED","-34",""
"SURVEY","2010","AUG","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, 1 DAY AFTER CROP PRODUCTION REPORT - PRICE REACTION, MEASURED IN CENTS / BU","TOTAL","NOT SPECIFIED","9",""
"SURVEY","2010","DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, 1 DAY AFTER CROP PRODUCTION REPORT - PRICE REACTION, MEASURED IN CENTS / BU","TOTAL","NOT SPECIFIED","56",""
"SURVEY","2010","NOV","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, 1 DAY AFTER CROP PRODUCTION REPORT - PRICE REACTION, MEASURED IN CENTS / BU","TOTAL","NOT SPECIFIED","62",""
"SURVEY","2010","OCT","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, 1 DAY AFTER CROP PRODUCTION REPORT - PRICE REACTION, MEASURED IN CENTS / BU","TOTAL","NOT SPECIFIED","56",""
"SURVEY","2010","SEP","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, 1 DAY AFTER CROP PRODUCTION REPORT - PRICE REACTION, MEASURED IN CENTS / BU","TOTAL","NOT SPECIFIED","-16",""
"SURVEY","2009","AUG","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, 1 DAY AFTER CROP PRODUCTION REPORT - PRICE REACTION, MEASURED IN CENTS / BU","TOTAL","NOT SPECIFIED","6",""
"SURVEY","2009","DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, 1 DAY AFTER CROP PRODUCTION REPORT - PRICE REACTION, MEASURED IN CENTS / BU","TOTAL","NOT SPECIFIED","-29",""
"SURVEY","2009","NOV","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, 1 DAY AFTER CROP PRODUCTION REPORT - PRICE REACTION, MEASURED IN CENTS / BU","TOTAL","NOT SPECIFIED","-9",""
"SURVEY","2009","OCT","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, 1 DAY AFTER CROP PRODUCTION REPORT - PRICE REACTION, MEASURED IN CENTS / BU","TOTAL","NOT SPECIFIED","20",""
"SURVEY","2009","SEP","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, 1 DAY AFTER CROP PRODUCTION REPORT - PRICE REACTION, MEASURED IN CENTS / BU","TOTAL","NOT SPECIFIED","-24",""
"SURVEY","2008","AUG","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, 1 DAY AFTER CROP PRODUCTION REPORT - PRICE REACTION, MEASURED IN CENTS / BU","TOTAL","NOT SPECIFIED","15",""
"SURVEY","2008","DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, 1 DAY AFTER CROP PRODUCTION REPORT - PRICE REACTION, MEASURED IN CENTS / BU","TOTAL","NOT SPECIFIED","-70",""
"SURVEY","2008","NOV","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, 1 DAY AFTER CROP PRODUCTION REPORT - PRICE REACTION, MEASURED IN CENTS / BU","TOTAL","NOT SPECIFIED","27",""
"SURVEY","2008","OCT","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, 1 DAY AFTER CROP PRODUCTION REPORT - PRICE REACTION, MEASURED IN CENTS / BU","TOTAL","NOT SPECIFIED","-63",""
"SURVEY","2008","SEP","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, 1 DAY AFTER CROP PRODUCTION REPORT - PRICE REACTION, MEASURED IN CENTS / BU","TOTAL","NOT SPECIFIED","17",""
"SURVEY","2007","AUG","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, 1 DAY AFTER CROP PRODUCTION REPORT - PRICE REACTION, MEASURED IN CENTS / BU","TOTAL","NOT SPECIFIED","-9",""
"SURVEY","2007","DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, 1 DAY AFTER CROP PRODUCTION REPORT - PRICE REACTION, MEASURED IN CENTS / BU","TOTAL","NOT SPECIFIED","27",""
"SURVEY","2007","NOV","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, 1 DAY AFTER CROP PRODUCTION REPORT - PRICE REACTION, MEASURED IN CENTS / BU","TOTAL","NOT SPECIFIED","13",""
"SURVEY","2007","OCT","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, 1 DAY AFTER CROP PRODUCTION REPORT - PRICE REACTION, MEASURED IN CENTS / BU","TOTAL","NOT SPECIFIED","-13",""
"SURVEY","2007","SEP","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, 1 DAY AFTER CROP PRODUCTION REPORT - PRICE REACTION, MEASURED IN CENTS / BU","TOTAL","NOT SPECIFIED","18",""
"SURVEY","2006","AUG","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, 1 DAY AFTER CROP PRODUCTION REPORT - PRICE REACTION, MEASURED IN CENTS / BU","TOTAL","NOT SPECIFIED","-6",""
"SURVEY","2006","DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, 1 DAY AFTER CROP PRODUCTION REPORT - PRICE REACTION, MEASURED IN CENTS / BU","TOTAL","NOT SPECIFIED","39",""
"SURVEY","2006","NOV","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, 1 DAY AFTER CROP PRODUCTION REPORT - PRICE REACTION, MEASURED IN CENTS / BU","TOTAL","NOT SPECIFIED","-5",""
"SURVEY","2006","OCT","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, 1 DAY AFTER CROP PRODUCTION REPORT - PRICE REACTION, MEASURED IN CENTS / BU","TOTAL","NOT SPECIFIED","18",""
"SURVEY","2006","SEP","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, 1 DAY AFTER CROP PRODUCTION REPORT - PRICE REACTION, MEASURED IN CENTS / BU","TOTAL","NOT SPECIFIED","-6",""
"SURVEY","2005","AUG","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, 1 DAY AFTER CROP PRODUCTION REPORT - PRICE REACTION, MEASURED IN CENTS / BU","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2005","DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, 1 DAY AFTER CROP PRODUCTION REPORT - PRICE REACTION, MEASURED IN CENTS / BU","TOTAL","NOT SPECIFIED","-13",""
"SURVEY","2005","NOV","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, 1 DAY AFTER CROP PRODUCTION REPORT - PRICE REACTION, MEASURED IN CENTS / BU","TOTAL","NOT SPECIFIED","2",""
"SURVEY","2005","OCT","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, 1 DAY AFTER CROP PRODUCTION REPORT - PRICE REACTION, MEASURED IN CENTS / BU","TOTAL","NOT SPECIFIED","15",""
"SURVEY","2005","SEP","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, 1 DAY AFTER CROP PRODUCTION REPORT - PRICE REACTION, MEASURED IN CENTS / BU","TOTAL","NOT SPECIFIED","-3",""
"SURVEY","2004","AUG","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, 1 DAY AFTER CROP PRODUCTION REPORT - PRICE REACTION, MEASURED IN CENTS / BU","TOTAL","NOT SPECIFIED","37",""
"SURVEY","2004","DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, 1 DAY AFTER CROP PRODUCTION REPORT - PRICE REACTION, MEASURED IN CENTS / BU","TOTAL","NOT SPECIFIED","-11",""
"SURVEY","2004","NOV","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, 1 DAY AFTER CROP PRODUCTION REPORT - PRICE REACTION, MEASURED IN CENTS / BU","TOTAL","NOT SPECIFIED","8",""
"SURVEY","2004","OCT","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, 1 DAY AFTER CROP PRODUCTION REPORT - PRICE REACTION, MEASURED IN CENTS / BU","TOTAL","NOT SPECIFIED","-23",""
"SURVEY","2004","SEP","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, 1 DAY AFTER CROP PRODUCTION REPORT - PRICE REACTION, MEASURED IN CENTS / BU","TOTAL","NOT SPECIFIED","-15",""
"SURVEY","2003","AUG","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, 1 DAY AFTER CROP PRODUCTION REPORT - PRICE REACTION, MEASURED IN CENTS / BU","TOTAL","NOT SPECIFIED","13",""
"SURVEY","2003","DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, 1 DAY AFTER CROP PRODUCTION REPORT - PRICE REACTION, MEASURED IN CENTS / BU","TOTAL","NOT SPECIFIED","29",""
"SURVEY","2003","NOV","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, 1 DAY AFTER CROP PRODUCTION REPORT - PRICE REACTION, MEASURED IN CENTS / BU","TOTAL","NOT SPECIFIED","-6",""
"SURVEY","2003","OCT","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, 1 DAY AFTER CROP PRODUCTION REPORT - PRICE REACTION, MEASURED IN CENTS / BU","TOTAL","NOT SPECIFIED","31",""
"SURVEY","2003","SEP","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, 1 DAY AFTER CROP PRODUCTION REPORT - PRICE REACTION, MEASURED IN CENTS / BU","TOTAL","NOT SPECIFIED","12",""
"SURVEY","2002","AUG","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, 1 DAY AFTER CROP PRODUCTION REPORT - PRICE REACTION, MEASURED IN CENTS / BU","TOTAL","NOT SPECIFIED","23",""
"SURVEY","2002","DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, 1 DAY AFTER CROP PRODUCTION REPORT - PRICE REACTION, MEASURED IN CENTS / BU","TOTAL","NOT SPECIFIED","-24",""
"SURVEY","2002","NOV","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, 1 DAY AFTER CROP PRODUCTION REPORT - PRICE REACTION, MEASURED IN CENTS / BU","TOTAL","NOT SPECIFIED","-6",""
"SURVEY","2002","OCT","","NATIONAL","US TOTAL","","","","","","","","00000000","","SOYBEANS","SOYBEANS, 1 DAY AFTER CROP PRODUCTION REPORT - PRICE REACTION, MEASURED IN CENTS / BU","TOTAL","NOT SPECIFIED","4",""
